Designator,Mid X,Mid Y,Rotation,Layer
C2,120.5,-102.5,0.0,top
C3,132.7385,-142.0,0.0,top
C4,108.751,-110.0,180.0,top
P1,103.0,-110.0,0.0,top
P2,120.5,-93.0,0.0,top
P3,140.7,-114.0,0.0,top
Q2,136.0,-111.46,270.0,top
R1,131.0,-101.5,0.0,top
R2,130.5,-111.5,270.0,top
U1,128.92,-129.62,270.0,top
U3,135.5,-91.0,180.0,top
U4,102.38,-96.6041,0.0,top
